frame_index,media_ms,track_id,class_id,state,x_min,y_min,x_max,y_max,confidence
208,17333.333,8,67,confirmed,82.690,81.219,220.343,256.214,0.4514
208,17333.333,9,2,confirmed,37.739,108.102,211.149,271.291,0.4632
209,17416.667,8,67,confirmed,80.814,74.748,217.196,248.128,0.4514
209,17416.667,9,2,confirmed,29.026,106.940,205.285,267.126,0.5422
210,17500.000,8,67,confirmed,78.945,68.285,214.044,240.035,0.4514
210,17500.000,9,2,confirmed,20.157,106.013,199.003,262.586,0.6540
211,17583.333,8,67,confirmed,77.081,61.830,210.886,231.934,0.4514
211,17583.333,9,2,confirmed,10.461,104.821,192.419,258.294,0.6237
212,17666.667,8,67,confirmed,75.224,55.383,207.722,223.825,0.4514
212,17666.667,9,2,confirmed,2.868,104.004,186.445,254.231,0.6800
213,17750.000,8,67,confirmed,73.373,48.944,204.551,215.707,0.4514
213,17750.000,9,2,confirmed,-1.105,103.145,181.538,249.990,0.7109
214,17833.333,9,2,confirmed,-3.477,102.471,176.241,246.340,0.8686
215,17916.667,9,2,confirmed,-5.079,102.313,170.193,243.460,0.8418
216,18000.000,9,2,confirmed,-6.126,101.870,163.645,240.405,0.7755
217,18083.333,9,2,confirmed,-6.676,101.087,156.902,237.036,0.8689
218,18166.667,9,2,confirmed,-7.190,100.642,149.377,234.365,0.8604
218,18166.667,10,33,tentative,530.256,413.145,558.205,432.000,0.3483
219,18250.000,9,2,confirmed,-7.286,100.565,142.061,231.944,0.9053
219,18250.000,10,33,tentative,530.267,413.127,558.207,431.996,0.3307
220,18333.333,9,2,confirmed,-7.498,100.872,134.184,230.157,0.9036
220,18333.333,10,33,confirmed,530.235,413.121,558.258,432.010,0.3224
221,18416.667,9,2,confirmed,-7.584,101.228,126.175,228.263,0.9190
221,18416.667,10,33,confirmed,530.169,412.970,558.167,431.956,0.3215
222,18500.000,9,2,confirmed,-7.397,101.801,118.514,226.206,0.9063
222,18500.000,10,33,confirmed,530.232,413.082,558.315,432.025,0.2681
